,sepal_length,petal_length,species,species_num
76,6.8,4.8,versicolor,0
136,6.3,5.6,virginica,1
52,6.9,4.9,versicolor,0
105,7.6,6.6,virginica,1
125,7.2,6.0,virginica,1
143,6.8,5.9,virginica,1
66,5.6,4.5,versicolor,0
123,6.3,4.9,virginica,1
104,6.5,5.8,virginica,1
145,6.7,5.2,virginica,1
103,6.3,5.6,virginica,1
142,5.8,5.1,virginica,1
128,6.4,5.6,virginica,1
63,6.1,4.7,versicolor,0
57,4.9,3.3,versicolor,0
80,5.5,3.8,versicolor,0
72,6.3,4.9,versicolor,0
74,6.4,4.3,versicolor,0
83,6.0,5.1,versicolor,0
58,6.6,4.6,versicolor,0
93,5.0,3.3,versicolor,0
112,6.8,5.5,virginica,1
53,5.5,4.0,versicolor,0
121,5.6,4.9,virginica,1
95,5.7,4.2,versicolor,0
98,5.1,3.0,versicolor,0
56,6.3,4.7,versicolor,0
149,5.9,5.1,virginica,1
132,6.4,5.6,virginica,1
126,6.2,4.8,virginica,1
110,6.5,5.1,virginica,1
130,7.4,6.1,virginica,1
140,6.7,5.6,virginica,1
118,7.7,6.9,virginica,1
101,5.8,5.1,virginica,1
77,6.7,5.0,versicolor,0
68,6.2,4.5,versicolor,0
106,4.9,4.5,virginica,1
113,5.7,5.0,virginica,1
124,6.7,5.7,virginica,1
51,6.4,4.5,versicolor,0
111,6.4,5.3,virginica,1
92,5.8,4.0,versicolor,0
91,6.1,4.6,versicolor,0
54,6.5,4.6,versicolor,0
65,6.7,4.4,versicolor,0
67,5.8,4.1,versicolor,0
90,5.5,4.4,versicolor,0
88,5.6,4.1,versicolor,0
55,5.7,4.5,versicolor,0
141,6.9,5.1,virginica,1
109,7.2,6.1,virginica,1
50,7.0,4.7,versicolor,0
84,5.4,4.5,versicolor,0
78,6.0,4.5,versicolor,0
100,6.3,6.0,virginica,1
61,5.9,4.2,versicolor,0
85,6.0,4.5,versicolor,0
73,6.1,4.7,versicolor,0
102,7.1,5.9,virginica,1
60,5.0,3.5,versicolor,0
81,5.5,3.7,versicolor,0
116,6.5,5.5,virginica,1
107,7.3,6.3,virginica,1
129,7.2,5.8,virginica,1
135,7.7,6.1,virginica,1
82,5.8,3.9,versicolor,0
134,6.1,5.6,virginica,1
64,5.6,3.6,versicolor,0
139,6.9,5.4,virginica,1
69,5.6,3.9,versicolor,0
79,5.7,3.5,versicolor,0
99,5.7,4.1,versicolor,0
147,6.5,5.2,virginica,1
148,6.2,5.4,virginica,1
119,6.0,5.0,virginica,1
70,5.9,4.8,versicolor,0
144,6.7,5.7,virginica,1
122,7.7,6.7,virginica,1
127,6.1,4.9,virginica,1
